model,corruption,severity,n_samples,clean_acc,shifted_acc,accuracy_drop,relative_drop,wrong_confidence,failure_overlap
resnet20,clean,0,10000,0.9148,0.9148,0.0,0.0,0.821537219302755,
resnet56,clean,0,10000,0.9327,0.9327,0.0,0.0,0.8502156964737098,
resnet20,gaussian_noise,1,10000,0.9148,0.7153,0.1994999999999999,0.2180804547442063,0.8313902200712922,0.1805
resnet56,gaussian_noise,1,10000,0.9327,0.7545,0.17820000000000003,0.191058218076552,0.8574330689222409,0.1805
resnet20,gaussian_noise,3,10000,0.9148,0.3333,0.5814999999999999,0.6356580673371228,0.8634829855186928,0.5655
resnet56,gaussian_noise,3,10000,0.9327,0.3627,0.57,0.6111289803795432,0.8872321233744901,0.5655
resnet20,gaussian_noise,5,10000,0.9148,0.2389,0.6759,0.7388500218627022,0.8739081756026433,0.6911
resnet56,gaussian_noise,5,10000,0.9327,0.2501,0.6826,0.7318537579071512,0.8805424382105114,0.6911
resnet20,motion_blur,1,10000,0.9148,0.8606,0.054199999999999915,0.05924792304328806,0.8238196899764336,0.0761
resnet56,motion_blur,1,10000,0.9327,0.8751,0.057599999999999985,0.061756191701511726,0.8519612381799971,0.0761
resnet20,motion_blur,3,10000,0.9148,0.7031,0.2117,0.23141670310450374,0.8293419411062752,0.191
resnet56,motion_blur,3,10000,0.9327,0.7281,0.2046,0.21936313927307818,0.8621626780637269,0.191
resnet20,motion_blur,5,10000,0.9148,0.6223,0.2925,0.3197420201136861,0.8283341791316066,0.262
resnet56,motion_blur,5,10000,0.9327,0.6484,0.2843,0.30481398091562134,0.865702940471072,0.262
resnet20,fog,1,10000,0.9148,0.9173,-0.0025000000000000577,-0.002732837778749517,0.8311465031578866,0.0419
resnet56,fog,1,10000,0.9327,0.9309,0.0018000000000000238,0.0019298809906722674,0.8566276119690382,0.0419
resnet20,fog,3,10000,0.9148,0.8903,0.024499999999999966,0.02678181023174461,0.8156161173539697,0.056
resnet56,fog,3,10000,0.9327,0.9105,0.022199999999999998,0.023801865551624314,0.8523142425707598,0.056
resnet20,fog,5,10000,0.9148,0.675,0.2397999999999999,0.2621337997376475,0.8212509343073918,0.204
resnet56,fog,5,10000,0.9327,0.7312,0.2015,0.2160394553446982,0.8551483211063203,0.204
resnet20,brightness,1,10000,0.9148,0.9143,0.0004999999999999449,0.0005465675557498306,0.8237095034943162,0.0428
resnet56,brightness,1,10000,0.9327,0.9324,0.00029999999999996696,0.0003216468317786716,0.8439078641361033,0.0428
resnet20,brightness,3,10000,0.9148,0.9038,0.010999999999999899,0.012024486226497485,0.8212224361554501,0.047
resnet56,brightness,3,10000,0.9327,0.9246,0.008099999999999996,0.008684464458025084,0.8523770339925346,0.047
resnet20,brightness,5,10000,0.9148,0.8662,0.04859999999999998,0.053126366418889355,0.8132722452617013,0.0714
resnet56,brightness,5,10000,0.9327,0.8868,0.04589999999999994,0.0492119652621421,0.8419950842436127,0.0714
resnet20,jpeg_compression,1,10000,0.9148,0.8279,0.08689999999999998,0.09499344118933098,0.8094966872911824,0.0972
resnet56,jpeg_compression,1,10000,0.9327,0.8466,0.08609999999999995,0.09231264072048885,0.840184735194956,0.0972
resnet20,jpeg_compression,3,10000,0.9148,0.751,0.16379999999999995,0.17905553126366414,0.8031851894884224,0.1488
resnet56,jpeg_compression,3,10000,0.9327,0.7812,0.15149999999999997,0.162431650048247,0.8448339249577775,0.1488
resnet20,jpeg_compression,5,10000,0.9148,0.7033,0.2114999999999999,0.23119807608220366,0.8106365814568983,0.1956
resnet56,jpeg_compression,5,10000,0.9327,0.713,0.2197,0.23555269647260643,0.848300006082249,0.1956
